ID,window,GC_percent,GC_skew,Shannon_entropy,31mer_diversity_canonical_false
NC_003070.9,10000,34.01,-0.026168775,1.9247156374630352,9965
NC_003070.9,20000,30.630001,0.032321252,1.88849719135787,9817
NC_003070.9,30000,37.87,0.14602588,1.9503687070142819,9970
NC_003070.9,40000,37.149998,0.033109017,1.949428802461575,9966
NC_003070.9,50000,34.74,-0.00057570526,1.9312461958327396,9970
NC_003070.9,60000,37.31,-0.017421603,1.9516949041413372,9957
NC_003070.9,70000,33.899998,-0.064896755,1.9228235797793807,9970
NC_003070.9,80000,36.87,0.00840792,1.9493311764026617,9970
NC_003070.9,90000,34.7,-0.033429395,1.930905061486348,9970
NC_003070.9,100000,39.09,0.056536198,1.962570407445975,9956
NC_003070.9,110000,34.61,0.04825195,1.9298289160644395,9970
NC_003070.9,120000,40.11,0.051109448,1.9707864951477658,9970
NC_003070.9,130000,39.28,-0.039205704,1.9659075289708188,9970
NC_003070.9,140000,38.49,0.02520135,1.9611187203779108,9970
NC_003070.9,150000,36.18,0.03758983,1.94346390845489,9970
NC_003070.9,160000,38.61,0.055685055,1.961316557644124,9970
NC_003070.9,170000,40.39,-0.033919286,1.9720137175792682,9970
NC_003070.9,180000,35.14,-0.008537279,1.9350818720619147,9964
NC_003070.9,190000,38.010002,0.030255197,1.9576367503764007,9970
NC_003070.9,200000,35.73,0.025468795,1.9395446513263752,9912
NC_003070.9,210000,36.07,0.016357083,1.942058767732875,9970
NC_003070.9,220000,36.489998,-0.038640723,1.9446326887389835,9970
NC_003070.9,230000,39.28,0.050916497,1.963503800220158,9970
NC_003070.9,240000,37.329998,0.008840075,1.9527224045271971,9970
NC_003070.9,250000,37.72,-0.07794274,1.9536846864084922,9970
NC_003070.9,260000,34,-0.002352941,1.9245906948813105,9966
NC_003070.9,270000,39.399998,0.008121828,1.966483802208377,9970
NC_003070.9,280000,40.45,0.0012360939,1.9726707532005574,9883
NC_003070.9,290000,38.96,0.06570842,1.9605093493355814,9970
NC_003070.9,300000,39.329998,-0.04347826,1.9663287668688814,9970
NC_003070.9,310000,38.52,-0.022845276,1.95933589807728,9970
NC_003070.9,320000,40.78,-0.019617459,1.975217417412834,9970
NC_003070.9,330000,40.42,-0.017812964,1.9722573470965377,9970
NC_003070.9,340000,41.800003,-0.014832536,1.979657046143216,9970
NC_003070.9,350000,40.87,-0.014436017,1.9751445627413242,9970
NC_003070.9,360000,41.920002,-0.008587786,1.9810153859785986,9967
NC_003070.9,370000,39.55,-0.05790139,1.9672839860790092,9970
NC_003070.9,380000,38.02,0.0026301946,1.952466258423545,9970
NC_003070.9,390000,38.74,0.0067114094,1.9597265474686898,9970
NC_003070.9,400000,42.29,0.025774416,1.977932274126878,9970
NC_003070.9,410000,40.42,0.009896091,1.9729508369939228,9962
NC_003070.9,420000,42.94,-0.04238472,1.9843901854905583,9965
NC_003070.9,430000,33.11,0.00936273,1.9134654395805266,9916
NC_003070.9,440000,35.82,-0.00614182,1.940223596806592,9966
NC_003070.9,450000,36.379997,-0.03958219,1.9433411905039193,9954
NC_003070.9,460000,37.27,0.00026831232,1.9515956307420583,9905
NC_003070.9,470000,34.59,-0.050014455,1.929706271755529,9970
NC_003070.9,480000,35.86,0.088678196,1.9391217155634113,9970
NC_003070.9,490000,33.739998,-0.028452875,1.9218190287961776,9970
NC_003070.9,500000,36.69,0.06405015,1.945606390501231,9687
NC_003070.9,510000,30.33,0.052423343,1.8846145948280406,9970
NC_003070.9,520000,35.13,0.03956732,1.9344705378789455,9970
NC_003070.9,530000,37.8,0.07354497,1.9545590373010824,9970
NC_003070.9,540000,39.61,0.033072457,1.9662121651678124,9970
NC_003070.9,550000,32.54,0.057775047,1.9089541652476787,9903
NC_003070.9,560000,32.8,-0.015853658,1.9116691989633074,9693
NC_003070.9,570000,38.32,-0.041753653,1.959788721445764,9970
NC_003070.9,580000,38.34,-0.0010432968,1.9603043072842072,9970
NC_003070.9,590000,38.170002,0.04165575,1.9578733502681533,9970
NC_003070.9,600000,38.710003,-0.056057867,1.962002844046837,9970
NC_003070.9,610000,35.760002,-0.04642058,1.9388486191843959,9970
NC_003070.9,620000,36.629997,-0.012831013,1.9472760414103834,9970
